 Brevard ; Broward ; Clay ; Alachua ; Duval ; Indian ; Manatee ; Miami ; Palm Beach ; St. Lucie ; Volusia 
180335,75;26998,78;156024,95;114068,96;199099,91;190781,66;324859,37;516023,13;487973,66;185001,43;163089,51
198572,76;240010,04;330782,52;109688,25;202494,76;191687,91;320815,28;446217,26;689941,55;383165,86;256085,56
181811,5;298513,95;330887,44;40674,93;187406,18;190538,62;219011,73;594223,56;441933,76;303192,65;299233,64
190271,71;205601,77;164744,99;14667,9;189061,26;190673,12;117438,54;377962,57;608453,28;193157,76;284404,28
187730,85;214370,43;120751,99;166734,11;189791,68;190469,64;47354,98;311893,12;346404,11;353217,45;252106,99
193650,93;107093,05;169852,74;97605,37;195557,82;189710,39;15794,55;380989,81;583671,51;74922,12;191512,8
178421,76;107227,05;174910,01;204409,44;180956,85;190525,44;573979,86;339909,52;689083,73;19983,25;299902,31
191014,75;283927,55;21103,06;3195,46;181094,45;190034,54;221441,46;421905,34;523739,99;297112,81;113286,2
197214,57;247071,87;173748,39;90040,04;197524,27;189664,03;77187,36;527778,16;438061,06;386449,47;298076
207813,01;215496,24;274540,8;176680,67;190782,51;192420,78;356276,38;243818,48;502740,94;87396,09;117329,52
194838,36;213950,01;279105,62;98595,62;194221,91;189391,39;301752,99;470995,33;317710,56;256728,76;296700,27
193064,19;226276,15;351168,38;19307,86;191946,79;192139,51;204553,96;464302,53;490192,28;343896,43;218927,9
200369,43;316134,81;113616;121254,6;185418,21;190503,98;199666,45;188096,03;595720,49;48292,77;86339,41
196437,64;155189,44;108623,88;53061,87;192636,66;190509,34;132106,8;731412,15;611154,93;214493,75;90681,69
195576,78;56601,58;83687,5;17743,73;190852,83;191301,15;246845,96;430480,76;559832,93;174141,91;294553,9
180377,09;252326,66;122094,31;139315,4;199299,65;191386,37;279203,42;533528,47;316603,44;123560,27;296893,9
177097,18;126724,92;194542,46;7960,92;187887,82;189861,52;324156;359889,42;482083,25;152517,7;260480,41
179678,7;207454,5;210554,13;8212,28;185892,7;190244,06;156526,74;816959,31;614358,64;202716,98;265336,89
214738,48;293951,7;192964,21;32917,5;183672,11;190874,18;211785,52;614311,5;749427,13;188357,7;316508,5
210164,11;63895,94;191051,62;107936,04;191238,23;190215,65;296196,77;389512,14;437111,52;171798,07;145991,34
200514,74;230170,85;86335,63;19001,67;195621,37;191319,7;282063,86;552997,59;628123,12;291011,91;135834,65
187696,25;185503,1;232117,48;9315,35;198037,99;189612,73;115328,71;304452,44;494678,09;312036,58;259911,7
201486,12;218302,25;320109,05;34606,15;185242,74;189569,25;307808,24;465785,34;454001,45;223757,09;283333,98
195048,76;131527,05;108634,49;140045,1;184996,57;189825;297286,48;427142,24;402634,61;126696,69;236719,15
181380,76;256185,71;284904,25;39597,86;179785,75;189379,08;210648,17;520350,67;697797,43;277749,7;128856,77
178915,59;92393,36;67038,83;75509,02;191411,71;191103,93;106400,16;564112,65;527531,53;459733,13;221856,18
180384,17;5401,58;317116,06;35127,14;189413,5;190678,63;366030,21;342290,23;476900,41;207140,2;68623,32
181030,8;196473,63;134657,91;226209,85;183209,11;190978,53;94146,43;408104,74;644383,69;106761,58;22841,43
204447,58;137486,02;216564,55;18507,57;188786,8;188221,87;36566,77;515951,68;543076,03;297397,89;109295,98
180379,09;189685,25;231991,26;107267,24;189147,32;189471,07;391198,31;502616,01;458852,4;266016,62;125254,44
190193;294024,16;82928,91;137098,22;186537,8;190423,08;242168,32;571944,45;627056,14;118561,67;158883,69
