country;cumulative_total_cases;daily_new_cases;active_cases;cumulative_total_deaths;daily_new_deaths
Afghanistan;237.0;63.0;228.0;4.0;0.0
Afghanistan;273.0;36.0;257.0;6.0;2.0
Afghanistan;281.0;8.0;265.0;6.0;0.0
Afghanistan;309.0;28.0;292.0;7.0;1.0
Afghanistan;349.0;40.0;327.0;7.0;0.0
Afghanistan;367.0;18.0;338.0;11.0;4.0
Afghanistan;423.0;56.0;391.0;14.0;3.0
Afghanistan;444.0;21.0;401.0;14.0;0.0
Afghanistan;484.0;40.0;437.0;15.0;1.0
Afghanistan;521.0;37.0;474.0;15.0;0.0
Afghanistan;555.0;34.0;505.0;18.0;3.0
Afghanistan;607.0;52.0;557.0;18.0;0.0
Afghanistan;665.0;58.0;612.0;21.0;3.0
Afghanistan;714.0;49.0;651.0;23.0;2.0
Afghanistan;784.0;70.0;716.0;25.0;2.0
Afghanistan;840.0;56.0;756.0;30.0;5.0
Afghanistan;906.0;66.0;777.0;30.0;0.0
Afghanistan;933.0;27.0;791.0;30.0;0.0
Afghanistan;996.0;63.0;832.0;33.0;3.0
Afghanistan;1026.0;30.0;855.0;36.0;3.0
Afghanistan;1092.0;66.0;906.0;36.0;0.0
Afghanistan;1176.0;84.0;970.0;40.0;4.0
Afghanistan;1279.0;103.0;1058.0;42.0;2.0
Afghanistan;1351.0;72.0;1120.0;43.0;1.0
Afghanistan;1463.0;112.0;1228.0;47.0;4.0
Afghanistan;1531.0;68.0;1274.0;50.0;3.0
Afghanistan;1703.0;172.0;1426.0;57.0;7.0
Afghanistan;1828.0;125.0;1542.0;58.0;1.0
Afghanistan;1939.0;111.0;1627.0;60.0;2.0
Afghanistan;2171.0;232.0;1847.0;64.0;4.0
Afghanistan;2335.0;164.0;1957.0;68.0;4.0
Afghanistan;2469.0;134.0;2066.0;72.0;4.0
Afghanistan;2704.0;235.0;2274.0;85.0;13.0
Afghanistan;2894.0;190.0;2407.0;90.0;5.0
